Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
10.78,0.965076,1.40006,-175,-2.76181
10.8,0.968074,1.39975,-175,-2.76007
10.82,0.971077,1.39944,-175,-2.75832
10.84,0.974082,1.39912,-175,-2.75655
10.86,0.977092,1.39879,-175,-2.75478
10.88,0.980105,1.39845,-175,-2.75299
10.9,0.983121,1.39811,-175,-2.7512
10.92,0.98614,1.39777,-175,-2.74939
10.94,0.989162,1.39741,-175,-2.74757
10.96,0.992186,1.39706,-175,-2.74574
10.98,0.995213,1.39669,-175,-2.7439
11,0.998243,1.39632,-175,-2.74205
11.02,1.00127,1.39595,-175,-2.74018
11.04,1.00431,1.39557,-175,-2.73831
11.06,1.00734,1.39518,-175,-2.73642
11.08,1.01038,1.39479,-175,-2.73453
11.1,1.01342,1.39439,-175,-2.73262
11.12,1.01646,1.39399,-175,-2.7307
11.14,1.0195,1.39358,-175,-2.72877
11.16,1.02254,1.39317,-175,-2.72683
11.18,1.02558,1.39275,-175,-2.72488
11.2,1.02863,1.39233,-175,-2.72291
11.22,1.03167,1.3919,-175,-2.72094
11.24,1.03471,1.39147,-175,-2.71895
11.26,1.03776,1.39104,-175,-2.71696
11.28,1.0408,1.39059,-175,-2.71495
11.3,1.04385,1.39015,-175,-2.71293
11.32,1.04689,1.3897,-175,-2.7109
11.34,1.04993,1.38924,-175,-2.70886
11.36,1.05297,1.38879,-175,-2.7068
11.38,1.05602,1.38832,-175,-2.70474
11.4,1.05906,1.38785,-175,-2.70266
11.42,1.06209,1.38738,-175,-2.70058
11.44,1.06513,1.38691,-175,-2.69848
11.46,1.06817,1.38643,-175,-2.69637
11.48,1.0712,1.38595,-175,-2.69425
11.5,1.07423,1.38546,-175,-2.69212
11.52,1.07726,1.38497,-175,-2.68998
11.54,1.08029,1.38447,-175,-2.68782
11.56,1.08331,1.38398,-175,-2.68566
11.58,1.08633,1.38347,-175,-2.68348
11.6,1.08935,1.38297,-175,-2.6813
11.62,1.09237,1.38246,-175,-2.6791
11.64,1.09538,1.38195,-175,-2.67689
11.66,1.09839,1.38144,-175,-2.67467
11.68,1.1014,1.38092,-175,-2.67243
11.7,1.1044,1.3804,-175,-2.67019
11.72,1.1074,1.37987,-175,-2.66793
11.74,1.11039,1.37935,-175,-2.66567
11.76,1.11338,1.37882,-175,-2.66339
11.78,1.11637,1.37828,-175,-2.6611
11.8,1.11935,1.37775,-175,-2.6588
11.82,1.12232,1.37721,-175,-2.65649
11.84,1.1253,1.37667,-175,-2.65416
11.86,1.12826,1.37613,-175,-2.65183
11.88,1.13122,1.37558,-175,-2.64948
