X,Y,Z,Phi
-77.0157,258.009,100,-1.66753
-75.6689,258.407,100,-1.67802
-74.2849,258.808,100,-1.68867
-72.864,259.212,100,-1.69949
-71.4061,259.617,100,-1.71046
-69.9115,260.024,100,-1.7216
-68.3802,260.431,100,-1.73289
-66.8124,260.837,100,-1.74434
-65.2082,261.243,100,-1.75595
-63.5677,261.647,100,-1.76772
-61.8911,262.049,100,-1.77964
-60.1785,262.447,100,-1.79171
-58.4301,262.842,100,-1.80394
-56.646,263.232,100,-1.81632
-54.8264,263.617,100,-1.82885
-52.9715,263.996,100,-1.84153
-51.0815,264.368,100,-1.85435
-49.1565,264.733,100,-1.86733
-47.1968,265.09,100,-1.88045
-45.2025,265.437,100,-1.89372
-43.174,265.774,100,-1.90713
-41.1114,266.101,100,-1.92068
-39.015,266.417,100,-1.93438
-36.885,266.72,100,-1.94821
-34.7217,267.01,100,-1.96219
-32.5254,267.287,100,-1.97631
-30.2963,267.548,100,-1.99056
-28.0348,267.795,100,-2.00495
-25.7413,268.025,100,-2.01948
-23.4159,268.238,100,-2.03414
-21.0591,268.433,100,-2.04893
-18.6712,268.61,100,-2.06386
-16.2526,268.767,100,-2.07892
-13.8037,268.904,100,-2.09411
-11.3248,269.02,100,-2.10942
-8.8164,269.114,100,-2.12487
-6.27892,269.185,100,-2.14044
-3.71279,269.233,100,-2.15614
-1.11846,269.256,100,-2.17196
1.50359,269.254,100,-2.18791
